X,Y,InitialLatitude,InitialLongitude,POOState
-122.092713553,40.7409452030001,40.74223,-122.0932,US-CA
-118.165662227,34.6836249300001,34.68362,-118.16565,US-CA
-118.183512165,33.905514843,33.90551,-118.1835,US-CA
-120.904933122,38.9279121540001,38.927907,-120.90492,US-CA
-118.137832224,34.7039149340001,34.70391,-118.13782,US-CA
-116.937893864,32.731075774,32.731071,-116.937882,US-CA
-118.001202185,34.5211049220001,34.5211,-118.00119,US-CA
-119.094373442,34.213754825,,,US-CA
-117.153513943,33.3011888300001,33.301184,-117.153502,US-CA
-118.361312194,33.891064832,33.89106,-118.3613,US-CA
-117.500684043,33.824504872,33.8245,-117.500672,US-CA
-122.391230724,41.572072238,41.572067,-122.391217,US-CA
-118.15424222,34.627604924,34.6276,-118.15423,US-CA
-122.178813112,37.180104912,37.1801,-122.1788,US-CA
-118.281392229,34.4834749010001,34.48347,-118.28138,US-CA
-118.115232209,34.57144492,34.57144,-118.11522,US-CA
-117.835362155,34.488574928,34.48857,-117.83535,US-CA
-118.230302181,34.008124852,34.00812,-118.23029,US-CA
-118.147722222,34.6603349280001,34.66033,-118.14771,US-CA
-117.45551207,34.254834923,34.25711,-117.4583,US-CA
-118.153312221,34.631104925,34.6273,-118.1533,US-CA
-116.806829927,33.8699659160001,33.869961,-116.806818,US-CA
-118.119432211,34.587194922,34.58719,-118.11942,US-CA
-117.77762211,34.0742548850001,34.07425,-117.77761,US-CA
-118.106922165,34.0619348650001,34.06193,-118.10691,US-CA
-122.997344388,38.500714959,38.50071,-122.997331,US-CA
-120.414430016,38.704955173,38.70495,-120.414417,US-CA
-117.482612035,33.7604448660001,33.76044,-117.4826,US-CA
-118.202622175,33.986114851,33.98611,-118.20261,US-CA
-118.311342253,34.7037349230001,34.70382,-118.32429,US-CA
-116.947300998,34.441371974,34.441367,-116.947289,US-CA
-117.121385962,33.6219828700001,33.621978,-117.121374,US-CA
-119.18195675,34.1472270130001,,,US-CA
-118.090472144,33.83148484,33.83148,-118.09046,US-CA
-117.186584937,33.1475648110001,33.14756,-117.186573,US-CA
-118.143382222,34.6711549300001,34.67115,-118.14337,US-CA
-117.823912122,34.119734887,34.11973,-117.8239,US-CA
-118.170812166,33.9450848480001,33.94508,-118.1708,US-CA
-118.102262158,33.989234857,33.98923,-118.10225,US-CA
-118.247702169,33.8242648310001,33.82426,-118.24769,US-CA
-118.153312221,34.631104925,34.6311,-118.1533,US-CA
-121.955513613,41.282665255,41.28442,-121.9508,US-CA
-118.547672269,34.420884879,34.42088,-118.54766,US-CA
-118.447422252,34.416444884,34.41383,-118.44072,US-CA
-118.123672222,34.699604934,34.6996,-118.12366,US-CA
-118.3695122,33.9536148380001,33.95361,-118.3695,US-CA
-120.193511869,37.7660991050001,37.766094,-120.193499,US-CA
-117.249518015,34.008054907,34.00805,-117.249506,US-CA
-118.165882229,34.703954932,34.70395,-118.16587,US-CA
-117.99281214,33.9955948640001,33.99559,-117.9928,US-CA
-117.466012079,34.3397949320001,34.33979,-117.466,US-CA
-118.3684822,33.9480348370001,33.94803,-118.36847,US-CA
-118.699329262,34.039804829,34.04019,-118.69829,US-CA
-117.579784042,33.638195846,,,US-CA
-118.182882172,33.9936548530001,33.99365,-118.18287,US-CA
-118.170512167,33.9531448490001,33.95314,-118.1705,US-CA
-117.930252166,34.4372349170001,34.43723,-117.93024,US-CA
-117.041799962,33.7971978940001,33.797193,-117.041788,US-CA
-118.549132269,34.4174348780001,34.41743,-118.54912,US-CA
-118.174852229,34.6893149300001,34.68932,-118.17268,US-CA
-117.982122148,34.1095948770001,34.11492,-117.97805,US-CA
-118.187952165,33.8949748420001,33.89497,-118.18794,US-CA
-118.560572301,34.7745949160001,34.77459,-118.56056,US-CA
-118.143402222,34.667604929,34.6676,-118.14339,US-CA
-118.016762143,33.97267486,33.97267,-118.01675,US-CA
-120.713792696,35.2889938370001,35.288989,-120.71378,US-CA
-118.360822197,33.9314948360001,33.93149,-118.36081,US-CA
-120.937713262,39.9527852370001,39.94727,-120.9372,US-CA
-118.581432277,34.4529748800001,34.45297,-118.58142,US-CA
-118.094592215,34.684364934,34.68436,-118.09458,US-CA
-117.508112078,34.245754919,34.24232,-117.4977,US-CA
-120.524544025,38.6340581580001,38.634053,-120.524531,US-CA
-118.029012152,34.06791487,34.06791,-118.029,US-CA
-118.17021223,34.7040349320001,34.70403,-118.1702,US-CA
-118.067112201,34.5729949230001,34.57299,-118.0671,US-CA
-122.067730081,37.0470719080001,37.047067,-122.067717,US-CA
-118.253292183,33.974714847,33.97471,-118.25328,US-CA
-116.657559876,33.555059887,33.555055,-116.657548,US-CA
-118.589152249,34.104104842,34.1041,-118.58914,US-CA
-118.366762198,33.9329848360001,33.93298,-118.36675,US-CA
-118.687912305,34.569754887,34.56975,-118.6879,US-CA
-118.001642142,33.9951848630001,33.99518,-118.00163,US-CA
-120.395513037,38.895505191,38.8955,-120.3955,US-CA
-117.844622168,34.627454943,34.62745,-117.84461,US-CA
-121.923864469,40.3338051860001,40.3338,-121.923851,US-CA
-119.759141733,37.1724550810001,37.17245,-119.759129,US-CA
-116.965811864,32.669404765,32.6694,-116.9658,US-CA
-121.918679009,36.5859228780001,36.585918,-121.918666,US-CA
-118.238412176,33.928394843,33.92839,-118.2384,US-CA
-118.362462197,33.930924836,33.93092,-118.36245,US-CA
-124.062747928,41.287325072,41.28732,-124.062734,US-CA
-118.139902226,34.718464935,34.71846,-118.13989,US-CA
-118.350402194,33.921214836,33.92121,-118.35039,US-CA
-121.948920077,37.176617928,37.176613,-121.948907,US-CA
-122.094663554,40.7417382030001,40.741733,-122.09465,US-CA
-118.139902226,34.718464935,34.71846,-118.13989,US-CA
-118.161242226,34.674904929,34.6749,-118.16123,US-CA
-116.733140884,33.493435876,33.493431,-116.733129,US-CA
-118.169702228,34.68933493,34.68933,-118.16969,US-CA
-118.3701222,33.9454348370001,33.94543,-118.37011,US-CA
-117.327712186,35.7989451020001,35.79894,-117.3277,US-CA
-120.263274911,38.0281331240001,38.028128,-120.263262,US-CA
-118.280192177,33.846354831,33.84635,-118.28018,US-CA
-122.606052392,38.998333028,38.998328,-122.606039,US-CA
-117.813182112,34.021884877,34.02188,-117.81317,US-CA
-118.23024218,33.98919485,33.98919,-118.23023,US-CA
-118.213922166,33.852484836,33.85248,-118.21391,US-CA
-118.135622223,34.689434932,34.68943,-118.13561,US-CA
-120.929313165,39.2323881780001,39.232383,-120.9293,US-CA
-118.033512142,33.931314854,33.93131,-118.0335,US-CA
-117.289512001,33.7529018760001,33.752897,-117.2895,US-CA
-118.287312176,33.824444828,33.82444,-118.2873,US-CA
-116.733140884,33.493435876,33.493431,-116.733129,US-CA
-118.352612196,33.933774837,33.93377,-118.3526,US-CA
-118.146312226,34.7039249330001,34.70392,-118.1463,US-CA
-118.352612196,33.933194837,33.93319,-118.3526,US-CA
-118.796225796,34.251219346,,,US-CA
-117.890112133,34.120744884,34.12074,-117.8901,US-CA
-118.17031224,34.816704944,34.8167,-118.1703,US-CA
-117.676702102,34.177874902,34.17787,-117.67669,US-CA
-117.638562066,33.820479864,33.79595,-117.6535,US-CA
-117.32215696,33.144496803,33.144492,-117.322145,US-CA
-120.668013168,39.576375227,39.57637,-120.668,US-CA
-118.324302256,34.7038249230001,34.7183,-118.31975,US-CA
-118.244712169,33.8257648310001,33.82576,-118.2447,US-CA
-117.670812104,34.223244908,34.22068,-117.6682,US-CA
-117.477696043,33.8716098790001,33.871605,-117.477684,US-CA
-116.970929936,33.620884878,33.62088,-116.970918,US-CA
-122.501346584,40.524338152,40.524333,-122.501333,US-CA
-122.749309319,38.240346957,38.240342,-122.749296,US-CA
-118.17037223,34.7039949320001,34.70399,-118.17036,US-CA
-118.104912153,33.913784848,33.91378,-118.1049,US-CA
-120.851880089,38.7333551420001,38.73335,-120.851867,US-CA
-118.171902229,34.696754931,34.69675,-118.17189,US-CA
-117.30931204,34.1965049250001,34.1788,-117.3268,US-CA
-117.43918202,33.6640048570001,33.66037,-117.447,US-CA
-117.87021212,33.9962148710001,33.99621,-117.8702,US-CA
-117.36294802,33.8307408800001,33.830736,-117.362936,US-CA
-118.153192228,34.718624934,34.71862,-118.15318,US-CA
-116.026311766,33.569584923,33.56958,-116.0263,US-CA
-117.898982164,34.471834922,34.47183,-117.89897,US-CA
-117.838232164,34.5969449400001,34.59694,-117.83822,US-CA
-118.156412225,34.6772349300001,34.67723,-118.1564,US-CA
-118.093312158,34.01018486,34.01018,-118.0933,US-CA
-118.219112195,34.200954874,34.20095,-118.2191,US-CA
-116.942821865,32.7395517750001,32.739547,-116.94281,US-CA
-118.121452221,34.696744934,34.69674,-118.12144,US-CA
-118.241722169,33.8253448310001,33.82534,-118.24171,US-CA
-117.915392125,33.9666548650001,33.96665,-117.91538,US-CA
-119.502234876,37.033338385,,,US-CA
-118.183812232,34.703984931,34.70398,-118.1838,US-CA
-116.754311921,33.914074924,33.91407,-116.7543,US-CA
-118.310812178,33.800954824,33.80095,-118.3108,US-CA
-120.49565798,38.3037291310001,38.303724,-120.495645,US-CA
-117.713345383,33.8661159650001,,,US-CA
-118.801545282,34.0815158280001,34.08118,-118.8019,US-CA
-116.142911827,34.0866149780001,34.08661,-116.1429,US-CA
-121.069149113,38.650228118,38.650223,-121.069136,US-CA
-118.368412198,33.930534836,33.93298,-118.3678,US-CA
-117.73376208,33.7936159560001,,,US-CA
-118.133552213,34.5769249200001,34.57692,-118.13354,US-CA
-119.828241781,37.5046121070001,37.504607,-119.828229,US-CA
-118.237942225,34.514314907,34.51431,-118.23793,US-CA
-117.916392187,34.704794947,34.70479,-117.91638,US-CA
-119.050290486,37.79889409,,,US-CA
-117.43945202,33.664174857,33.66037,-117.4472,US-CA
-117.886012132,34.1207948840001,34.12079,-117.886,US-CA
-118.182012165,33.9075748430001,33.90757,-118.182,US-CA
-117.752192107,34.0816348870001,34.08163,-117.75218,US-CA
-118.773712275,34.042434825,34.04243,-118.7737,US-CA
-122.040246075,37.029930909,37.029926,-122.040233,US-CA
-118.174732229,34.685754929,34.68575,-118.17472,US-CA
-118.220946458,36.9879901680001,36.987985,-118.220934,US-CA
-118.135622223,34.689434932,34.68943,-118.13561,US-CA
-121.725964978,36.57229289,36.572288,-121.725952,US-CA
-119.214734564,34.2441715210001,,,US-CA
-118.171632169,33.971274851,33.97127,-118.17162,US-CA
-119.639579736,37.3819651090001,37.38196,-119.639567,US-CA
-116.715778886,33.553019884,33.553015,-116.715767,US-CA
-118.082752204,34.5801049230001,34.5801,-118.08274,US-CA
-116.711781832,32.8392747990001,32.83742,-116.7145,US-CA
-116.703829814,32.610837771,32.610833,-116.703818,US-CA
-117.106472969,33.750693885,33.750689,-117.106461,US-CA
-118.333622192,33.924794837,33.92479,-118.33361,US-CA
-121.40349597,36.961171947,36.961167,-121.403483,US-CA
-116.98451686,32.568323752,32.568319,-116.984505,US-CA
-116.582511805,32.7719447970001,32.77213,-116.5834,US-CA
-119.112234364,34.450004849,,,US-CA
-118.100892207,34.5795949220001,34.57959,-118.10088,US-CA
-117.10368496,33.641702873,33.641698,-117.103673,US-CA
-116.953686906,33.273872838,33.273868,-116.953675,US-CA
-117.882742131,34.114064883,34.11406,-117.88273,US-CA
-116.73081187,33.315704855,33.3157,-116.7308,US-CA
